hcat,n_estonia,n_latvia,n_portugal,n_total,hcat_name,crop_name,level,share_pct,n_countries
3302000000,84057,215020,16442,315519,pasture_meadow_grassland_grass,pasture meadow grassland grass,3,44.6478831385501,3
3301010101,13722,50603,0,64325,winter_common_soft_wheat,winter common soft wheat,6,9.102383954333131,2
3301010500,6911,22792,933,30636,oats,oats,5,4.335182818887676,3
3399000000,234,11,29328,29573,not_known_and_other,not known and other,3,4.184761767298775,3
3301010102,5522,21524,0,27046,spring_common_soft_wheat,spring common soft wheat,6,3.827175692637293,2
3301010402,10736,12934,0,23670,spring_barley,spring barley,6,3.3494508853333107,2
3301990000,11,19049,2490,21550,other_arable_land_crops,other arable land crops,4,3.0494578191353123,3
3301110000,1918,17000,1748,20666,fallow_land_not_crop,fallow land not crop,4,2.924366370777279,3
3303050000,0,0,18692,18692,olive_plantations,olive plantations,4,2.6450332044212184,1
3301060401,6011,11836,0,17847,winter_rapeseed_rape,winter rapeseed rape,6,2.525460496431922,2
3301090303,6875,6461,3,13339,clover,clover,6,1.887550712271273,3
3301090300,13145,0,1,13146,legumes_harvested_green,legumes harvested green,5,1.860240022754191,2
3301030000,3423,8653,525,12601,potatoes,potatoes,4,1.7831191637551773,3
3301010300,1427,6357,282,8066,rye,rye,5,1.1413887131854028,3
3301010600,852,2215,4471,7538,grain_maize_corn_popcorn,grain maize corn popcorn,5,1.066673458962505,3
3301020600,4209,2935,18,7162,peas,peas,5,1.0134671415613508,3
3301150200,1140,4470,0,5610,buckwheat,buckwheat,5,0.7938495761182879,2
3301020100,1719,3569,188,5476,beans,beans,5,0.7748877502359616,3
3303060000,38,42,5351,5431,vineyards_wine_vine_rebland_grapes,vineyards wine vine rebland grapes,4,0.7685199728874191,3
3301070000,1569,833,1972,4374,fresh_vegetables,fresh vegetables,4,0.6189479582783228,3
3301090100,0,0,4215,4215,temporary_grass,temporary grass,5,0.5964484783134729,1
3301010401,2245,1568,0,3813,winter_barley,winter barley,6,0.539563000666494,2
3303030500,0,0,3707,3707,sweet_chestnuts,sweet chestnuts,5,0.5245633473565942,1
3303020000,15,3245,0,3260,berries_berry_species,berries berry species,4,0.4613100923610728,2
3301090301,1240,1845,13,3098,alfalfa_lucerne,alfalfa lucerne,6,0.4383860939063201,3
3303010200,383,2098,332,2813,apples,apples,5,0.3980568373655515,3
3301060403,48,2076,0,2124,summer_rapeseed_rape,summer rapeseed rape,6,0.300559090851202,2
3306060000,0,0,2106,2106,oak,oak,4,0.2980119799117851,1
3301010801,533,1309,0,1842,winter_triticale,winter triticale,6,0.2606543528003362,2
3301011500,127,1687,0,1814,unspecified_cereals,unspecified cereals,5,0.25669218022790985,2
3301130000,827,681,4,1512,strawberries,strawberries,4,0.21395731891102518,3
3303010000,828,0,446,1274,orchards_fruits,orchards fruits,4,0.18027885204540084,2
3301060402,1236,0,0,1236,spring_rapeseed_rape,spring rapeseed rape,6,0.17490161783996502,1
3301061400,0,1075,0,1075,phacelia,phacelia,5,0.15211912554851326,1
3303080700,0,0,967,967,wire_bush,wire bush,5,0.13683645991201146,1
3303020800,322,632,0,954,hippophae_sea_buckthorns_seaberry,hippophae sea buckthorns seaberry,5,0.13499687978909922,2
3303020300,272,627,0,899,blackcurrant_cassis,blackcurrant cassis,5,0.12721404080754736,2
3301020000,831,0,0,831,legumes_dried_pulses_protein_crops,legumes dried pulses protein crops,4,0.11759162170308328,1
3303120000,0,0,819,819,unspecified_permanent_crops,unspecified permanent crops,4,0.11589354774347196,1
3303011200,25,143,558,726,pears,pears,5,0.10273347455648431,3
3306000000,3,3,706,712,tree_wood_forest,tree wood forest,3,0.10075238827027111,3
3303020600,1,689,0,690,currants,currants,5,0.09763925267765038,2
3301061200,116,532,10,658,aromatic_medicinal_culinary_plants_spices_herbs,aromatic medicinal culinary plants spices herbs,5,0.09311105545202021,3
3303021000,296,358,2,656,raspberry_raspberries,raspberry raspberries,5,0.09282804312541833,3
3301090205,83,157,339,579,lolium_ryegrass,lolium ryegrass,6,0.08193206855124575,3
3303000000,0,437,96,533,permanent_crops_perennial,permanent crops perennial,3,0.07542278503940239,2
3301061001,522,0,0,522,finola,finola,6,0.07386621724309202,1
3301220200,92,418,5,515,garlic,garlic,5,0.07287567409998542,3
3303011500,12,467,11,490,quinces,quinces,5,0.06933802001746187,3
3301210100,209,263,1,473,mustard,mustard,5,0.06693241524134584,3
3301090304,446,0,0,446,melilot,melilot,6,0.06311174883222039,1
3303030000,0,0,426,426,nuts,nuts,4,0.060281625566201535,1
3301210200,41,237,73,351,brassica_oleracea_cabbage,brassica oleracea cabbage,5,0.049668663318630846,3
3303020400,93,237,19,349,blueberry,blueberry,5,0.049385650992028955,3
3303030100,0,0,345,345,almond,almond,5,0.04881962633882519,1
3301010802,195,138,0,333,spring_triticale,spring triticale,6,0.04712155237921388,2
3301140400,59,0,249,308,pumpkin_squash_gourd,pumpkin squash gourd,5,0.043583898296690314,2
3303010400,15,138,153,306,cherry_cherries,cherry cherries,5,0.04330088597008843,3
3301090209,0,304,0,304,timothy,timothy,6,0.04301787364348654,1
3301290300,83,201,18,302,carrots_daucus,carrots daucus,5,0.042734861316884656,3
3301010700,0,0,271,271,rice,rice,5,0.03834817025455544,1
3301220000,0,262,0,262,alliums,alliums,4,0.03707461478484696,1
3303040000,0,0,255,255,citrus_plantations,citrus plantations,4,0.03608407164174036,1
3301140000,0,251,0,251,cucurbits,cucurbits,4,0.035518046988536583,1
3303070000,76,148,4,228,nurseries_nursery,nurseries nursery,4,0.03226340523261491,3
3306080000,5,206,0,211,willows_osiers,willows osiers,4,0.029857800456498884,2
3301081900,23,174,0,197,galega,galega,5,0.027876714170285685,2
3301290200,72,119,1,192,beetroot_beets,beetroot beets,5,0.027169183353780973,3
3301010100,0,0,190,190,common_soft_wheat,common soft wheat,5,0.02688617102717909,1
3301061000,11,179,0,190,hemp_cannabis,hemp cannabis,5,0.02688617102717909,2
3301090202,0,181,0,181,festuca_fescue,festuca fescue,6,0.025612615557470606,1
3303011300,19,89,39,147,plums,plums,5,0.020801406005238558,3
3301019900,21,0,125,146,other_cereals,other cereals,5,0.020659899841937616,2
3301290400,12,128,0,140,mangelwurzel_fodder_beet,mangelwurzel fodder beet,5,0.01981086286213196,2
3301061203,17,120,0,137,anethum_dill,anethum dill,6,0.019386344372229133,2
3301011001,0,130,0,130,winter_spelt,winter spelt,6,0.018395801229122533,1
3301010900,14,0,95,109,millet_sorghum,millet sorghum,5,0.01542417179980274,2
3301020700,0,41,67,108,sweet_lupins,sweet lupins,5,0.015282665636501798,2
3301230000,24,81,0,105,rhubarb,rhubarb,4,0.01485814714659897,2
3303020500,15,89,0,104,cranberry,cranberry,5,0.014716640983298028,2
